"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2021","2,542.4231","2,496.2820","2,544.8003","2,491.0574","-","1.85%"
"Aug 23, 2021","2,496.2000","2,417.9539","2,500.2903","2,417.6687","-","3.28%"
"Aug 20, 2021","2,416.8960","2,448.2490","2,458.9839","2,414.7678","-","-1.19%"
"Aug 19, 2021","2,446.0750","2,499.7100","2,499.7100","2,428.5002","-","-2.13%"
"Aug 18, 2021","2,499.3201","2,519.5459","2,534.1846","2,491.3879","-","-0.80%"
"Aug 17, 2021","2,519.5410","2,544.3882","2,552.1418","2,514.9263","-","-0.98%"
"Aug 16, 2021","2,544.4290","2,565.2344","2,565.2344","2,517.6458","-","-0.80%"
"Aug 13, 2021","2,565.0540","2,570.7524","2,582.7925","2,552.1511","-","-0.21%"
"Aug 12, 2021","2,570.5400","2,566.2158","2,583.4883","2,546.1028","-","0.19%"
"Aug 11, 2021","2,565.5969","2,545.7954","2,567.1509","2,518.8411","-","0.77%"
"Aug 10, 2021","2,545.9341","2,502.1270","2,555.7275","2,502.1270","-","1.77%"
"Aug 09, 2021","2,501.6750","2,543.0381","2,543.0381","2,482.2964","-","-1.83%"
"Aug 06, 2021","2,548.2981","2,565.7371","2,584.9685","2,540.3362","-","-0.66%"
"Aug 05, 2021","2,565.1550","2,544.8093","2,573.3787","2,533.4580","-","0.79%"
"Aug 04, 2021","2,544.9641","2,584.2192","2,595.1538","2,541.1936","-","-1.56%"
"Aug 03, 2021","2,585.1699","2,602.8408","2,608.8552","2,556.7490","-","-0.62%"
"Aug 02, 2021","2,601.2791","2,637.6548","2,639.2898","2,587.9531","-","-1.42%"
"Jul 30, 2021","2,638.6890","2,649.1936","2,649.1936","2,626.9690","-","-0.41%"
"Jul 29, 2021","2,649.4541","2,612.0344","2,649.9624","2,609.5149","-","1.45%"
"Jul 28, 2021","2,611.6140","2,599.1570","2,616.5469","2,597.1567","-","0.50%"
"Jul 27, 2021","2,598.6621","2,612.8142","2,622.3677","2,589.6475","-","-0.45%"
"Jul 26, 2021","2,610.3870","2,596.5159","2,614.8853","2,566.0471","-","0.53%"
"Jul 23, 2021","2,596.5049","2,592.6155","2,599.9043","2,586.7844","-","0.15%"
"Jul 22, 2021","2,592.6121","2,561.6858","2,594.8486","2,547.8860","-","1.19%"
"Jul 21, 2021","2,562.1641","2,499.6714","2,564.5911","2,485.2349","-","2.50%"
"Jul 20, 2021","2,499.6819","2,472.8484","2,503.9714","2,458.0295","-","1.21%"
"Jul 19, 2021","2,469.8340","2,573.0793","2,574.0674","2,459.2622","-","-4.10%"
"Jul 16, 2021","2,575.4690","2,571.4231","2,587.5601","2,554.4014","-","0.16%"
"Jul 15, 2021","2,571.3940","2,591.3665","2,591.3665","2,561.2197","-","-0.77%"
"Jul 14, 2021","2,591.3440","2,614.2065","2,627.0935","2,575.0251","-","-0.88%"
"Jul 13, 2021","2,614.2290","2,587.0989","2,618.6526","2,577.4639","-","1.05%"
"Jul 12, 2021","2,587.0510","2,583.9653","2,590.4065","2,555.1340","-","0.12%"
"Jul 09, 2021","2,583.9790","2,549.3733","2,587.4346","2,543.6599","-","1.42%"
"Jul 08, 2021","2,547.7410","2,539.5957","2,551.4624","2,511.7832","-","0.34%"
"Jul 07, 2021","2,538.9910","2,565.8665","2,600.5859","2,516.3843","-","-0.94%"
"Jul 06, 2021","2,563.1909","2,635.6995","2,663.4087","2,556.2527","-","-2.33%"
"Jul 02, 2021","2,624.3660","2,620.0669","2,632.6155","2,605.8506","-","0.17%"
"Jul 01, 2021","2,619.8521","2,597.9036","2,656.6438","2,595.7625","-","0.85%"
"Jun 30, 2021","2,597.7930","2,568.9736","2,608.3899","2,558.9983","-","1.12%"
"Jun 29, 2021","2,568.9700","2,563.0295","2,589.9280","2,542.4082","-","0.22%"
