"","mean","median","sd","min","max","period"
"Crude_Oil_WTI Diesel1",0.63353898399401,0.630231398392296,0.134487350532187,0.177870890660781,0.902619817401002,"post_gfc"
"Crude_Oil_WTI Heating_Oil1",0.675632395512267,0.669934132640523,0.144356564081732,0.213279127091046,1.090039296965,"post_gfc"
"Crude_Oil_WTI Natural_Gas1",0.147508345080639,0.0967825909142951,0.337450278273854,-0.510979329321951,3.8371686427576,"post_gfc"
"Crude_Oil_WTI NY_Gasoline1",0.666469990261587,0.674005195015744,0.134595185436805,0.0968170426015372,1.11904232251651,"post_gfc"
"Diesel Crude_Oil_WTI1",0.814580465566579,0.80282649931488,0.177805196254546,0.372254668198451,1.46598544131583,"post_gfc"
"Diesel Heating_Oil1",0.889045721206745,0.896166922429435,0.104236700919455,0.515230890752211,1.3123198383874,"post_gfc"
"Diesel Natural_Gas1",0.0644293581823535,0.0795583496729866,0.319020334519565,-3.00363246289905,1.20208976180468,"post_gfc"
"Diesel NY_Gasoline1",0.801039628461381,0.796571668809008,0.139478879951043,0.325143939519992,1.48802685429808,"post_gfc"
"Heating_Oil Crude_Oil_WTI1",0.868975808052252,0.847555414751863,0.163949466223797,0.341721865183972,1.46998299215563,"post_gfc"
"Heating_Oil Diesel1",0.891078766542354,0.898544020189541,0.0822137964883197,0.476711834510877,1.12341202089719,"post_gfc"
"Heating_Oil Natural_Gas1",0.0868885555026055,0.0795849922887187,0.313629671767232,-2.10600734380372,1.74394007064762,"post_gfc"
"Heating_Oil NY_Gasoline1",0.851938980168721,0.857478802436391,0.132691126905245,0.258298434339876,1.28842444779628,"post_gfc"
"Natural_Gas Crude_Oil_WTI1",0.0349083594261806,0.0343572169411618,0.0786928316475816,-0.301610999179791,0.397450829421757,"post_gfc"
"Natural_Gas Diesel1",0.0154289799949929,0.0215373097600272,0.0622201816347819,-0.292376416624194,0.215131593075129,"post_gfc"
"Natural_Gas Heating_Oil1",0.0213470517963101,0.022329969658003,0.063676544384216,-0.232539474771488,0.303231347251329,"post_gfc"
"Natural_Gas NY_Gasoline1",0.00534595723974582,0.00691905003191461,0.0668026632003978,-0.200221605617237,0.220740676127753,"post_gfc"
"NY_Gasoline Crude_Oil_WTI1",0.602893994597032,0.605483393023425,0.172655686409662,0.0673865124334401,1.09930472229231,"post_gfc"
"NY_Gasoline Diesel1",0.560007313744936,0.563253403605875,0.143425939352102,0.117460049276108,0.961842090501534,"post_gfc"
"NY_Gasoline Heating_Oil1",0.59431851614916,0.591289599521057,0.152241061480186,0.126253149889832,1.01664274221986,"post_gfc"
"NY_Gasoline Natural_Gas1",0.0397512927165996,0.0137375225752575,0.236168164113213,-0.84580152080461,1.66673953389012,"post_gfc"
"Crude_Oil_WTI Diesel2",0.726878268601547,0.714558733797267,0.135231240648886,0.41541161739089,1.38702507815508,"low_oil"
"Crude_Oil_WTI Heating_Oil2",0.755897950120319,0.750299560705189,0.162723445833685,0.391008960631054,1.8459607315773,"low_oil"
"Crude_Oil_WTI Natural_Gas2",0.0671243120353974,0.0541399229935274,0.113337170084208,-0.35149107294279,0.607471630600145,"low_oil"
"Crude_Oil_WTI NY_Gasoline2",0.652086431974467,0.648768933275923,0.143357692021462,0.290659659219017,1.31713819597128,"low_oil"
"Diesel Crude_Oil_WTI2",0.771539711546935,0.770398290583595,0.154171714263256,0.191376859664926,1.35164548780241,"low_oil"
"Diesel Heating_Oil2",0.825218145165942,0.816852270948897,0.181776276599432,0.347791953225691,2.02420099922617,"low_oil"
"Diesel Natural_Gas2",0.0359194877502805,0.0294254957011005,0.107897224067383,-0.581998797095949,0.462017084090731,"low_oil"
"Diesel NY_Gasoline2",0.631184983344527,0.616889765145502,0.178535539658135,0.145305181501628,1.71935415060397,"low_oil"
"Heating_Oil Crude_Oil_WTI2",0.76008259807687,0.745560517339323,0.174218131133301,0.264458661239576,1.44313167309853,"low_oil"
